City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Longyearbyen,78.2186,15.6401,28.4,74,20,2.3,SJ,2021-03-28 23:57:52
270,Yumen,40.2833,97.2,43.02,52,48,10.49,CN,2021-03-28 23:59:34
271,Csenger,47.8358,22.681,32.0,86,52,2.33,HU,2021-03-29 00:03:38
272,Acarau,-2.8856,-40.12,77.43,83,9,6.02,BR,2021-03-29 00:03:38
273,Yulara,-25.2406,130.9889,75.2,46,0,11.5,AU,2021-03-28 23:56:55
274,Culpeper,38.5004,-77.9664,62.6,51,90,10.36,US,2021-03-29 00:03:39
275,Gull Lake,50.1001,-108.4847,62.6,25,40,29.93,CA,2021-03-29 00:03:39
276,Dingle,10.9995,122.6711,81.3,78,100,8.57,PH,2021-03-28 23:57:58
277,Ewa Beach,21.3156,-158.0072,78.8,57,75,9.22,US,2021-03-29 00:03:40
278,Quatre Cocos,-20.2078,57.7625,75.99,88,20,5.75,MU,2021-03-29 00:03:40
279,Jibuti,11.5,42.5,77.0,57,1,7.07,DJ,2021-03-29 00:03:40
280,Provideniya,64.3833,-173.3,15.67,88,100,21.85,RU,2021-03-28 23:57:57
281,Grand Gaube,-20.0064,57.6608,75.99,82,3,3.51,MU,2021-03-29 00:03:41
282,Puerto Escondido,15.85,-97.0667,84.2,70,1,9.22,MX,2021-03-29 00:03:41
283,San Cristobal,7.7669,-72.225,68.27,84,89,2.91,VE,2021-03-29 00:00:25
284,Umm Kaddadah,13.6017,26.6876,65.61,13,0,14.83,SD,2021-03-28 23:59:13
285,Boguchany,58.3814,97.4531,29.12,97,100,2.86,RU,2021-03-29 00:03:41
286,Lagunas,-5.2269,-75.6753,73.76,97,66,3.13,PE,2021-03-29 00:03:42
287,Nhulunbuy,-12.2333,136.7667,82.4,83,75,5.75,AU,2021-03-29 00:03:42
288,Daru,-9.0763,143.2092,81.12,87,100,9.55,PG,2021-03-28 23:58:44
289,Port Lincoln,-34.7333,135.8667,66.16,71,3,9.86,AU,2021-03-28 23:59:07
290,Talnakh,69.4865,88.3972,-14.37,99,64,4.12,RU,2021-03-28 23:57:36
291,Padang,-0.9492,100.3543,73.4,100,20,2.3,ID,2021-03-28 23:59:17
292,Taoudenni,22.6783,-3.9836,79.12,7,99,12.71,ML,2021-03-29 00:03:43
293,Sakakah,29.9697,40.2064,50.0,25,0,8.05,SA,2021-03-29 00:03:43
294,Vila Velha,-20.3297,-40.2925,77.0,83,0,2.3,BR,2021-03-28 23:54:20
